predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
DwellTime,SurprisalLeadingAndTrailingSpanning4,gpt2_k5,LeadingAndTrailing,Spanning4,True,0_5,0.5082487689819795,0.017860868289151233,0.5339547830921305,0.029213676752165796,-5.318152702127923,0.017838443061185316,-5.323399787346116,0.030398990964124017
DwellTime,SurprisalLeadingAndTrailingSpanning5,gpt2_k5,LeadingAndTrailing,Spanning5,True,0_5,0.5078175447138445,0.01742964402101632,0.530042208248187,0.025301101908222323,-5.318590967736417,0.017400177452691956,-5.327579899585393,0.02621887872484674
DwellTime,SurprisalLeadingAndTrailingSpanning6,gpt2_k5,LeadingAndTrailing,Spanning6,True,0_5,0.5052992190401283,0.014911318347300084,0.524627488639325,0.01988638229936024,-5.321142770267265,0.014848374921843543,-5.333307822204882,0.020490956105357228
DwellTime,SurprisalLeadingAndTrailingSpanning7,gpt2_k5,LeadingAndTrailing,Spanning7,True,0_5,0.5039399080885058,0.013552007395677523,0.5177273000217033,0.01298619368173859,-5.32251475804125,0.013476387147858482,-5.340513317468517,0.013285460841722774
DwellTime,SurprisalLeadingAndTrailingSpanningWhole,gpt2_k5,LeadingAndTrailing,SpanningWhole,True,0_5,0.5062897825368723,0.015901881844044063,0.5302501679282006,0.02550906158823585,-5.32014059219564,0.01585055299346827,-5.3273585970460315,0.026440181264208107
DwellTime,SurprisalNoWhitespaceDynamic7,gpt2_k5,NoWhitespace,Dynamic7,True,0_5,0.5186510273461662,0.028263126653337967,0.5397608880540843,0.03501978171411957,-5.307462482784276,0.028528662404832872,-5.317131538145143,0.03666724016509626
DwellTime,SurprisalNoWhitespaceDynamic8,gpt2_k5,NoWhitespace,Dynamic8,True,0_5,0.5205297911094796,0.030141890416651385,0.5390566143228465,0.03431550798288174,-5.30550710325617,0.03048404193293841,-5.317896070548085,0.03590270776215476
DwellTime,SurprisalNoWhitespaceFixed,gpt2_k5,NoWhitespace,Fixed,True,0_5,0.5122860534162783,0.02189815272345008,0.5291824196491756,0.024441313309210844,-5.31403075130034,0.021960393888768692,-5.328493814706774,0.02530496360346568
DwellTime,SurprisalNoWhitespaceWhole,gpt2_k5,NoWhitespace,Whole,True,0_5,0.5219509453561055,0.031563044663277307,0.5484339066758965,0.043692800335931814,-5.304022897826279,0.03196824736282977,-5.307619330763143,0.046179447547096686
DwellTime,SurprisalNoWhitespaceSpanning3,gpt2_k5,NoWhitespace,Spanning3,True,0_5,0.5080611293818668,0.017673228689038534,0.5311991432343586,0.026458036894393855,-5.318343452855289,0.017647692333819798,-5.326347489557821,0.027451288752418535
DwellTime,SurprisalNoWhitespaceSpanning4,gpt2_k5,NoWhitespace,Spanning4,True,0_5,0.5075692807844017,0.01718138009157344,0.5273002055500631,0.022559099210098355,-5.318843111361074,0.017148033828034315,-5.330488708119658,0.023310070190581733
DwellTime,SurprisalNoWhitespaceSpanning5,gpt2_k5,NoWhitespace,Spanning5,True,0_5,0.5049718803787947,0.014583979685966475,0.5217883768433295,0.017047270503364742,-5.321473505959712,0.014517639229397084,-5.3362851370345155,0.01751364127572419
DwellTime,SurprisalNoWhitespaceSpanning6,gpt2_k5,NoWhitespace,Spanning6,True,0_5,0.5035750750538304,0.01318717436100214,0.514861622549363,0.010120516209398245,-5.322882353566533,0.013108791622575389,-5.343475538928525,0.010323239381714977
DwellTime,SurprisalNoWhitespaceSpanning7,gpt2_k5,NoWhitespace,Spanning7,True,0_5,0.50158110888741,0.011193208194581805,0.5103082594147222,0.005567153074757525,-5.3248866569599995,0.011104488229109144,-5.34814650278704,0.005652275523199357
DwellTime,SurprisalNoWhitespaceSpanningWhole,gpt2_k5,NoWhitespace,SpanningWhole,True,0_5,0.5065253781376753,0.01613747744484706,0.528388672994801,0.02364756665483625,-5.319901938201078,0.01608920698803029,-5.329336049952174,0.024462728358066066
DwellTime,SurprisalLeadingDynamic7,gpt2_k5,Leading,Dynamic7,True,0_6,0.5173721875192604,0.024247564018758938,0.4851313565851596,0.004519339565539071,-5.315099660101533,0.024509692810878114,-5.316876533504796,0.004369677906220559
DwellTime,SurprisalLeadingDynamic8,gpt2_k5,Leading,Dynamic8,True,0_6,0.5227541031405314,0.029629479640029932,0.4864114820669033,0.0057994650472827924,-5.309492701636435,0.030116651275975848,-5.31563182814326,0.005614383267755763
DwellTime,SurprisalLeadingFixed,gpt2_k5,Leading,Fixed,True,0_6,0.5108722138377989,0.017747590337297448,0.4784665730525497,-0.002145443967070837,-5.321788657450601,0.01782069546180942,-5.323307315145325,-0.002061103734308567
DwellTime,SurprisalLeadingWhole,gpt2_k5,Leading,Whole,True,0_6,0.5286580205632457,0.035533397062744276,0.49080915315612317,0.010197136136502638,-5.303268719857553,0.03634063305485746,-5.3113320755848585,0.009914135826157633
