StimulusID,ContextLength,Region,RegionCleaned,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,DwellTime,FirstFixationDuration,FirstPassDwellTime,FirstPassLandingPosition,SkipRate
en-universal-test.conllu 1356,9,barrels,barrels,7.0,2.16136800223497,6.76e-06,-11.904487667909402,3.83,False,484.46875,232.375,273.3125,0.9934375,0.03125
en-universal-test.conllu 1356,10,a,a,1.0,6.01752581716572,0.0229,-3.776618368421943,7.36,False,94.25,251.33333333333334,251.33333333333334,0.2325,0.65625
en-universal-test.conllu 1356,11,day.,day,3.0,4.61165959265179,0.000891,-7.023166130493465,5.95,True,87.9375,181.0,181.0,0.40700000000000003,0.6875
en-universal-test.conllu 1397,0,On,on,2.0,5.54991383445688,0.00813,-4.812194355422418,6.91,False,226.46875,166.96774193548387,193.67741935483872,0.3335483870967742,0.03125
en-universal-test.conllu 1397,1,the,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,172.46875,189.21052631578948,225.3684210526316,0.6394736842105263,0.71875
en-universal-test.conllu 1397,2,other,other,5.0,4.57410074928645,0.00145,-6.536191722549654,6.16,False,320.4375,202.03703703703704,223.37037037037038,0.7674074074074073,0.4375
en-universal-test.conllu 1397,3,"hand,",hand,4.0,4.15421088220697,0.000257,-8.266434473069054,5.41,True,257.625,181.375,225.58333333333334,0.7008333333333333,0.40625
en-universal-test.conllu 1397,4,the,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,151.875,223.88888888888889,223.88888888888889,0.6833333333333333,0.65625
en-universal-test.conllu 1397,5,battle,battle,6.0,3.3336487565147,8.71e-05,-9.348453674105818,4.94,False,375.5625,213.4,228.56666666666666,0.553,0.1875
en-universal-test.conllu 1397,6,of,of,2.0,5.77117577156368,0.0251,-3.684887432844399,7.4,False,216.21875,205.1304347826087,208.47826086956522,0.3717391304347826,0.6875
en-universal-test.conllu 1397,7,the,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,365.6875,220.88888888888889,240.66666666666666,0.5837037037037037,0.28125
en-universal-test.conllu 1397,8,bus,bus,3.0,3.57795112772976,6.76e-05,-9.601902574915355,4.83,False,266.8125,219.08695652173913,226.30434782608697,0.5017391304347827,0.5
en-universal-test.conllu 1397,9,is,is,2.0,5.662440491974,0.0117,-4.448166437178426,7.07,False,86.75,220.41666666666666,220.41666666666666,0.3566666666666667,0.8125
en-universal-test.conllu 1397,10,expected,expected,8.0,3.22968184231768,9.12e-05,-9.302455660883988,4.96,False,574.75,255.46875,338.59375,0.843125,0.03125
